title,source_country,date,url,clean_text,headline_length_words,topic_category,month
"Almanya ve Filistin , İsrailin işgal altındaki Batı Şeriayı ilhak planı ile Gazzedeki ateşkesi görüştü",Turkey,2026-03-13 19:00:00,http://www.haberler.com/guncel/filistin-basbakani-ve-almanya-disisleri-bakani-bati-seria-ve-gazze-ateskesi-uzerine-gorustu-19655571-haberi/,almanya ve filistin i srailin işgal altındaki batı şeriayı ilhak planı ile gazzedeki ateşkesi görüştü,15,Other,2026-03
"Filistin : Uluslararası sessizlik , Batı Şeriada İsrail terörünü tırmandırıyor",Turkey,2026-03-08 13:15:00,http://www.haberler.com/guncel/filistin-devlet-baskanligi-ndan-israil-e-sert-elestiri-19637255-haberi/,filistin uluslararası sessizlik batı şeriada i srail terörünü tırmandırıyor,9,Other,2026-03
Izraeli támadásokban meghalt sok palesztin a Gázai övezetben és Ciszjordániában,United States,2026-03-16 11:00:00,https://ujszo.com/kulfold/izraeli-tamadasokban-meghalt-sok-palesztin-a-gazai-ovezetben-es-ciszjordaniaban,izraeli támadásokban meghalt sok palesztin a gázai övezetben és ciszjordániában,10,Other,2026-03
İsrailin Gazzeye saldırıları aralıksız devam ediyor,Turkey,2026-03-01 20:30:00,https://www.yeniasya.com.tr/dunya/israil-in-gazze-ye-saldirilari-araliksiz-devam-ediyor_619995,i srailin gazzeye saldırıları aralıksız devam ediyor,7,Other,2026-03
Cisjordanie  : Quatre membres dune famille tués par les forces de sécurité israéliennes,France,2026-03-15 11:00:00,https://www.20minutes.fr/monde/israel/4206219-20260315-cisjordanie-quatre-membres-famille-tues-forces-securite-israeliennes,cisjordanie quatre membres dune famille tués par les forces de sécurité israéliennes,12,Other,2026-03
Filistin topraklarını gasbeden İsraillilerin açtığı ateş sonucu Batı Şeriada 2 Filistinli hayatını kaybetti,Turkey,2026-03-08 05:30:00,https://www.haberler.com/guncel/ramallah-ta-israil-saldirisinda-2-filistinli-hayatini-kaybetti-19635905-haberi/,filistin topraklarını gasbeden i sraillilerin açtığı ateş sonucu batı şeriada 2 filistinli hayatını kaybetti,14,Other,2026-03
Filistin topraklarını gasbeden İsraillilerin açtığı ateş sonucu Batı Şeriada 2 Filistinli hayatını kaybetti,Turkey,2026-03-08 06:30:00,http://www.haberler.com/guncel/ramallah-ta-israil-saldirisinda-2-filistinli-hayatini-kaybetti-19635905-haberi/,filistin topraklarını gasbeden i sraillilerin açtığı ateş sonucu batı şeriada 2 filistinli hayatını kaybetti,14,Other,2026-03
  الإحصاء : ارتفاع أسعار المستهلك في فلسطين بنسبة 12 . 02 % – تلفزيون الفجر,Israel,2026-03-12 10:00:00,https://alfajertv.com/cocktail/economy/722207.html,الإحصاء ارتفاع أسعار المستهلك في فلسطين بنسبة 12 02 تلفزيون الفجر,11,Other,2026-03
Cisjordanie  : quatre membres dune famille tués par larmée israélienne,France,2026-03-15 06:45:00,https://www.lemonde.fr/international/article/2026/03/15/cisjordanie-quatre-membres-d-une-famille-tues-par-l-armee-israelienne_6671242_3211.html,cisjordanie quatre membres dune famille tués par larmée israélienne,9,Other,2026-03
Cisjordanie  : cinq Palestiniens blessés lors dune attaque par des colons israéliens,France,2026-03-14 14:00:00,https://www.sudouest.fr/international/moyen-orient/israel/cisjordanie-cinq-palestiniens-blesses-lors-d-une-attaque-par-des-colons-israeliens-28271742.php,cisjordanie cinq palestiniens blessés lors dune attaque par des colons israéliens,11,Other,2026-03
