title,source_country,date,url
加薩戰後首場巴勒斯坦選舉 沒有哈瑪斯參選 | 國際,Taiwan,20260425T080000Z,https://www.cna.com.tw:443/news/aopl/202604250097.aspx
加薩戰後首場巴勒斯坦選舉 沒有哈瑪斯參選 | 國際,Taiwan,20260425T073000Z,https://www.cna.com.tw/news/aopl/202604250097.aspx
"Filistin Devlet Başkan Yardımcısı Şeyh ile Mısır Dışişleri Bakanı Abdulati , Gazze ve Batı Şeriayı görüştü",Turkey,20260323T214500Z,https://www.haberler.com/guncel/filistin-ve-misir-disisleri-gazze-ve-bati-seria-daki-saldirilari-degerlendirdi-19682944-haberi/
加薩戰後首場巴勒斯坦選舉 投票率低競爭有限 | 國際,Taiwan,20260426T000000Z,https://www.cna.com.tw:443/news/aopl/202604260009.aspx
"Almanya ve Filistin , İsrailin işgal altındaki Batı Şeriayı ilhak planı ile Gazzedeki ateşkesi görüştü",Turkey,20260313T190000Z,http://www.haberler.com/guncel/filistin-basbakani-ve-almanya-disisleri-bakani-bati-seria-ve-gazze-ateskesi-uzerine-gorustu-19655571-haberi/
"Almanya ve Filistin , İsrailin işgal altındaki Batı Şeriayı ilhak planı ile Gazzedeki ateşkesi görüştü",Turkey,20260313T190000Z,https://www.haberler.com/guncel/filistin-basbakani-ve-almanya-disisleri-bakani-bati-seria-ve-gazze-ateskesi-uzerine-gorustu-19655571-haberi/
加薩戰後首場巴勒斯坦選舉 沒有哈瑪斯參選 | 國際 | 三立新聞網 SETN . COM,Taiwan,20260425T084500Z,https://www.setn.com/News.aspx?NewsID=1827892
加薩戰後首場巴勒斯坦選舉 投票率低競爭有限 | 國際,Taiwan,20260426T010000Z,https://newtalk.tw/news/view/2026-04-26/1031766
加薩20年來首次選舉 ： 巴勒斯坦自治政府與哈瑪斯角色 、 選舉困境為何 ？ 3個QA一次看懂 - TNL The News Lens 關鍵評論網,Taiwan,20260427T091500Z,https://www.thenewslens.com/article/267016
加沙战争以来首次 巴勒斯坦举行选举 | 国际,Malaysia,20260425T031500Z,https://www.orientaldaily.com.my/news/international/2026/04/25/813822
Lokalvalg i Palestina for første gang siden krigen,Norway,20260425T080000Z,https://www.dagsavisen.no/notice/10316192
"Filistin : Uluslararası sessizlik , Batı Şeriada İsrail terörünü tırmandırıyor",Turkey,20260308T131500Z,http://www.haberler.com/guncel/filistin-devlet-baskanligi-ndan-israil-e-sert-elestiri-19637255-haberi/
"Filistin : Uluslararası sessizlik , Batı Şeriada İsrail terörünü tırmandırıyor",Turkey,20260308T131500Z,https://www.haberler.com/guncel/filistin-devlet-baskanligi-ndan-israil-e-sert-elestiri-19637255-haberi/
Filistindeki yerel seçimde oy sayma işlemleri devam ediyor,Turkey,20260425T221500Z,https://www.haberler.com/guncel/filistin-deki-yerel-secimde-oy-sayma-islemleri-19781714-haberi/
ガザで20年ぶりの選挙 ハマスを巡る世論の動向注目,Japan,20260426T000000Z,https://mainichi.jp/articles/20260426/k00/00m/030/030000c
